trp_multiplayer_profile_troop_male|multiplayer profile troop male
trp_multiplayer_profile_troop_male_pl|multiplayer profile troop male
trp_multiplayer_profile_troop_female|multiplayer profile troop female
trp_multiplayer_profile_troop_female_pl|multiplayer profile troop female
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_find_item_cheat|find item cheat
trp_find_item_cheat_pl|find item cheat
trp_random_town_sequence|Random Town Sequence
trp_random_town_sequence_pl|Random Town Sequence
trp_tournament_participants|Tournament Participants
trp_tournament_participants_pl|Tournament Participants
trp_tutorial_maceman|Maceman
trp_tutorial_maceman_pl|Maceman
trp_tutorial_archer|Archer
trp_tutorial_archer_pl|Archer
trp_tutorial_swordsman|Swordsman
trp_tutorial_swordsman_pl|Swordsman
trp_novice_fighter|Novice Fighter
trp_novice_fighter_pl|Novice Fighters
trp_regular_fighter|Regular Fighter
trp_regular_fighter_pl|Regular Fighters
trp_veteran_fighter|Veteran Fighter
trp_veteran_fighter_pl|Veteran Fighters
trp_champion_fighter|Champion Fighter
trp_champion_fighter_pl|Champion Fighters
trp_arena_training_fighter_1|Novice Fighter
trp_arena_training_fighter_1_pl|Novice Fighters
trp_arena_training_fighter_2|Novice Fighter
trp_arena_training_fighter_2_pl|Novice Fighters
trp_arena_training_fighter_3|Regular Fighter
trp_arena_training_fighter_3_pl|Regular Fighters
trp_arena_training_fighter_4|Regular Fighter
trp_arena_training_fighter_4_pl|Regular Fighters
trp_arena_training_fighter_5|Regular Fighter
trp_arena_training_fighter_5_pl|Regular Fighters
trp_arena_training_fighter_6|Veteran Fighter
trp_arena_training_fighter_6_pl|Veteran Fighters
trp_arena_training_fighter_7|Veteran Fighter
trp_arena_training_fighter_7_pl|Veteran Fighters
trp_arena_training_fighter_8|Veteran Fighter
trp_arena_training_fighter_8_pl|Veteran Fighters
trp_arena_training_fighter_9|Champion Fighter
trp_arena_training_fighter_9_pl|Champion Fighters
trp_arena_training_fighter_10|Champion Fighter
trp_arena_training_fighter_10_pl|Champion Fighters
trp_cattle|Cattle
trp_cattle_pl|Cattle
trp_farmer|Farmer
trp_farmer_pl|Farmers
trp_townsman|Townsman
trp_townsman_pl|Townsmen
trp_watchman|Watchman
trp_watchman_pl|Watchmen
trp_caravan_guard|Caravan Guard
trp_caravan_guard_pl|Caravan Guards
trp_mercenary_swordsman|Mercenary Swordsman
trp_mercenary_swordsman_pl|Mercenary Swordsmen
trp_hired_blade|Hired Blade
trp_hired_blade_pl|Hired Blades
trp_mercenary_crossbowman|Mercenary gunner
trp_mercenary_crossbowman_pl|Mercenary gunners
trp_mercenary_horseman|Mercenary Horseman
trp_mercenary_horseman_pl|Mercenary Horsemen
trp_mercenary_cavalry|Mercenary knight
trp_mercenary_cavalry_pl|Mercenary knights
trp_mercenaries_end|mercenaries end
trp_mercenaries_end_pl|mercenaries end
trp_swadian_recruit|france militia
trp_swadian_recruit_pl|france militia
trp_swadian_militia|france footman
trp_swadian_militia_pl|france footman
trp_swadian_footman|france Infantry
trp_swadian_footman_pl|france Infantry
trp_swadian_infantry|france heavy Infantry
trp_swadian_infantry_pl|france heavy Infantry
trp_swadian_pikeman|france pikeman
trp_swadian_pikeman_pl|france pikeman
trp_swadian_sergeant|france heavy pikeman
trp_swadian_sergeant_pl|france heavy pikeman
trp_swadian_skirmisher|france crossbowman
trp_swadian_skirmisher_pl|france crossbowman
trp_swadian_crossbowman|france elite crossbowman
trp_swadian_crossbowman_pl|france elite crossbowman
trp_swadian_sharpshooter|fance musketeer
trp_swadian_sharpshooter_pl|fance musketeers
trp_swadian_retinue|fance light cavalry
trp_swadian_retinue_pl|fance light cavalry
trp_swadian_man_at_arms|fance lancer
trp_swadian_man_at_arms_pl|fance lancers
trp_swadian_knight|france Knight
trp_swadian_knight_pl|france Knights
trp_swadian_messenger|Volencia Messenger
trp_swadian_messenger_pl|Volencia Messengers
trp_swadian_deserter|Volencia Deserter
trp_swadian_deserter_pl|Volencia Deserters
trp_swadian_prison_guard|Prison Guard
trp_swadian_prison_guard_pl|Prison Guards
trp_swadian_castle_guard|Castle Guard
trp_swadian_castle_guard_pl|Castle Guards
